field_id,season_year,soil_ph,soil_type,soil_moisture_pct,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,forecast_rain_mm,avg_temp,precip_history_mm,previous_crop,crop_planted,yield_t_ha,water_source
Field_004,2022,6.39,CLAY,35.99,16.82,12.96,79.85,475.92,20.13,283.9,Banana,Canola,1.07,well
Field_014,2025,6.72,Loam,39.41,166.78,14.82,48.58,351.55,32.79,89.39,Melon,Melon,6.16,canal
Field_004,2018,7.65,CLAY,40.74,15.49,15.6,119.14,358.44,18.13,373.36,Pineapple,Pineapple,1.76,well
Field_046,2024,8.7,SILT,13.34,90.68,13.43,49.25,394.9,31.24,114.58,Kale,Pear,2.1,rainfed
Field_022,2018,6.12,loam,46.79,123.51,36.61,31.54,338.48,24.47,650.29,Sweet Potato,Tomato,-3.5,rainfed
Field_031,2018,7.46,PEAT,62.56,74.27,54.35,44.31,304.5,10.52F,767.03,Oats,Lettuce,5.74,canal
Field_033,2021,5.99,Silt,13.05,92.96,7.52,105.19,438.27,22.28,233.84,Tomato,Strawberry,3.25,well
Field_007,2025,7.51,PEAT,17.24,46.99,41.3,68.6,13.4 in,28.23,227.97,Cabbage,Oats,2.24,canal
Field_022,2022,7.32,loam,50.14,109.15,46.83,19.25,374.45,25.65F,589.83,Grapes,Oats,9.8,rainfed
Field_040,2021,5.51,LOAM,13.53,62.69,62.72,87.34,353.14,16.23,309.37,Strawberry,Pear,8.58,rainfed
Field_022,2021,6.93,loam,37.52,122.32,29.86,22.37,570.73,21.61,663.4,Plum,Blueberry,7.05,rainfed
Field_017,2023,5.84,sandy,35.71,71.77,57.71,14.76,396.72,11.65,416.15,Coffee,Millet,8.68,rainfed
Field_018,2024,6.64,Peat,31.56,62.12,32.15,48.02,406.45,16.83,446.81,Hemp,Rice,7.54,canal
Field_032,2018,5.39,peat,30.75,125.31,50.84,56.85,297.39,27.6,875.85,Rice,Peach,2.45,well
Field_012,2021,5.43,Silt,18.0,13.8,49.4,29.92,259.36,29.6,685.81,Tomato,Carrot,2.55,river
Field_017,2024,5.98,sandy,24.4,103.67,61.68,20.51,11.3 in,9.93,497.42,Sorghum,Sorghum,4.0,rainfed
Field_016,2024,7.39,clay,11.07,141.44,19.26,80.06,474.38,forty,326.63,Onion,Cucumber,4.43,well
Field_017,2021,5.07,sandy,36.33,90.46,47.34,20.56,427.89,,334.49,Oats,Pineapple,9.71,rainfed
Field_008,2018,7.76,Silt,39.79,123.95,50.61,27.42,243.8,12.05,224.08,Potato,Potato,2.37,well
Field_049,2018,-1,Loam,24.44,23.24,20.3,76.18,629.51,12.26,301.92,Garlic,Garlic,9.88,canal
Field_012,2023,5.62,Silt,14.01,19.03,36.81,30.36,389.7,26.95F,588.5,Corn,Lettuce,5.15,river
Field_024,2019,6.32,Clay,31.05,19.62,40.96,76.58,397.55,28.82,246.53,Lentil,Flax,1.26,river
Field_038,2025,4.63,SANDY,55.12,58.84,24.64,57.58,466.08,13.24,323.46,Cucumber,Lentil,9.24,rainfed
Field_019,2020,8.75,Sandy,19.27,160.05,51.7,56.77,725.4,27.91,381.12,Pineapple,Grapes,6.12,rainfed
Field_035,2025,8.04,Clay,9.67,33.27,50.51,70.29,382.71,25.01F,519.32,Flax,Flax,0.97,river
Field_027,2021,5.49,Sandy,38.71,58.9,24.11,25.38,697.81,13.09,301.52,Corn,Pea,0.54,canal
Field_050,2022,7.11,Peat,26.39,143.85,51.78,84.95,488.26,14.06,416.36,Pineapple,Pineapple,4.06,well
Field_047,2021,7.9,Loam,20.18,14.04,48.28,71.08,152.93,20.0F,188.35,Spinach,Sorghum,9999.0,rainfed
Field_028,2025,6.78,Loam,46.48,33.22,72.23,53.13,321.17,19.03,579.99,Strawberry,Strawberry,2.98,well
Field_005,2025,5.59,Silt,32.13,77.86,24.96,73.48,580.21,15.99,382.34,Cabbage,Blueberry,8.59,canal
Field_013,2021,7.71,Peat,37.35,136.55,35.15,25.3,209.92,29.36,738.69,Spinach,Spinach,9.01,rainfed
Field_048,2020,7.0,LOAMY,20.98,63.6,65.86,22.0,586.74,15.55F,470.59,Raspberry,Millet,3.62,river
Field_007,2020,8.59,PEAT,21.4,46.24,51.35,77.44,321.98,30.89,155.84,Pear,Cucumber,0.73,canal
Field_045,2018,6.64,clay,57.37,25.68,51.66,78.97,348.78,20.3,166.3,Cabbage,Spinach,2.77,river
Field_036,2025,6.67,peat,32.31,93.5,37.53,41.88,501.35,27.45F,587.91,Lettuce,Tomato,3.03,river
Field_023,2022,6.6,LOAM,17.64,92.96,44.55,109.86,221.66,23.93,209.27,Millet,Sunflower,6.46,rainfed
Field_043,2025,forty,Loam,44.7,155.47,15.77,25.77,401.51,8.03,316.83,Beet,Bean,5.94,well
Field_029,2022,7.03,SANDY,-1,99.05,24.04,73.03,26.2 in,15.3,97.93,Mango,Mango,7.21,rainfed
Field_045,2019,5.49,clay,57.27,25.64,48.34,70.36,346.65,20.38,143.96,Oats,Tea,6.4,river
Field_028,2021,4.88,Loam,40.23,34.1,58.52,81.18,180.18,18.64,541.08,Rice,Pumpkin,1.84,well
Field_029,2025,7.02,SANDY,26.5,96.21,14.48,75.38,829.25,15.59F,101.58,Cabbage,Strawberry,7.09,rainfed
Field_021,2018,6.52,SANDY,49.51,25.8,66.36,79.15,20.9 in,26.44,439.77,Sunflower,Wheat,4.66,rainfed
Field_012,2025,8.2,Silt,19.61,10.78,42.1,30.13,288.84,29.45,709.54,Pepper,Hemp,1.55,river
Field_032,2018,4.64,peat,36.62,138.02,49.49,63.65,396.26,22.62,688.77,Cotton,Cotton,5.56,well
Field_028,2019,5.29,Loam,42.16,38.12,70.51,56.67,325.54,20.06,-1,Beet,Bean,2.33,well
Field_032,2025,4.92,peat,28.35,133.27,52.49,82.77,224.15,28.24,630.14,Peach,Peach,3.88,well
Field_001,2024,6.98,silt,35.74,17.83,52.44,22.01,374.29,27.39,205.64,Pear,Canola,5.73,canal
Field_033,2024,8.77,Silt,11.65,146.33,8.25,90.52,403.01,22.41,205.55,Pepper,Pepper,3.08,well
Field_003,2020,8.41,LOAM,27.83,28.33,64.45,97.53,8.2 in,31.3,491.07,Soybean,Potato,5.96,canal
Field_011,2021,5.71,CLAY,16.87,24.74,18.48,98.95,14.1 in,10.55,169.73,Potato,Soybean,6.21,well
Field_019,2022,6.21,Sandy,20.47,128.57,74.32,35.9,670.51,30.44,678.46,Mango,Pea,4.08,rainfed
Field_043,2019,7.29,Loam,41.45,119.69,16.55,19.94,276.19,8.89,179.31,Millet,Peach,0.67,well
Field_031,2020,7.04,PEAT,46.22,42.01,49.78,33.22,312.41,10.1F,460.44,Melon,Melon,6.36,canal
Field_021,2025,5.33,SANDY,32.48,22.43,65.11,111.18,610.8,24.88,634.33,Barley,Melon,8.99,rainfed
Field_023,2021,9.03,LOAM,23.93,127.16,38.59,86.06,211.7,20.65,171.61,Pumpkin,Tomato,2.24,rainfed
Field_034,2018,6.42,loam,52.84,80.89,20.86,104.21,266.66,23.85F,78.46,Oats,Pumpkin,7.71,well
Field_019,2019,8.88,Sandy,23.69,171.36,49.34,56.14,842.01,30.44F,356.52,Barley,Sorghum,4.75,rainfed
Field_033,2019,8.54,Silt,,135.1,7.75,96.11,427.99,23.72,366.5,Broccoli,Pea,2.16,well
Field_044,2018,7.74,Peat,41.56,91.48,24.87,39.8,596.96,15.58,686.63,Cotton,Cotton,4.07,well
Field_010,2025,4.6,Silt,14.57,94.04,63.33,86.56,863.52,31.91,271.35,Pepper,Melon,7.13,canal
Field_004,2018,7.07,CLAY,23.43,13.37,10.43,72.78,289.49,17.27,400.2,Canola,Pumpkin,2.16,well
Field_027,2019,6.04,Sandy,49.36,46.01,40.76,30.31,520.86,14.11F,298.46,Beet,Coffee,9.02,canal
Field_041,2020,7.7,Sandy,31.53,82.64,forty,93.27,450.72,20.11,483.17,Peach,Kale,9.58,river
Field_005,2022,7.37,Silt,36.05,62.2,24.22,52.14,636.36,17.69,214.17,Pineapple,Pea,6.9,canal
Field_038,2022,5.35,SANDY,37.62,69.73,23.53,58.02,689.22,13.59,274.08,Grapes,Sunflower,4.06,rainfed
Field_018,2025,6.42,Peat,32.76,54.29,43.53,39.12,468.62,13.89F,513.11,Corn,Cocoa,8.79,canal
Field_029,2022,7.22,SANDY,36.85,89.06,22.7,44.08,781.69,14.58,141.26,Barley,Beet,8.22,rainfed
Field_050,2025,forty,Peat,41.16,118.61,43.51,83.23,25.4 in,14.91,480.61,Flax,Tea,2.77,well
Field_004,2025,5.06,CLAY,38.84,14.25,13.35,75.35,430.99,22.47F,262.21,Carrot,Millet,0.7,well
Field_018,2022,6.27,Peat,22.25,58.51,57.3,57.54,293.23,13.7,428.09,Oats,Pineapple,9.21,canal
Field_050,2020,5.4,Peat,35.81,143.28,50.16,72.73,29.5 in,16.0F,564.44,Corn,Sunflower,2.74,well
Field_014,2022,5.53,Loam,25.57,101.53,14.95,49.91,453.03,33.65F,63.62,Barley,Blueberry,4.02,canal
Field_040,2019,7.24,LOAM,9.24,54.47,39.23,74.56,358.22,16.09,405.31,Kale,Kale,5.74,rainfed
Field_034,2019,7.0,loam,47.01,85.29,forty,92.92,368.49,20.32,70.42,Peach,Rice,6.35,well
Field_005,2018,7.6,Silt,34.58,44.91,21.79,90.98,20.7 in,18.32,387.6,Canola,Cocoa,8.03,canal
Field_039,2018,7.66,SILT,20.56,24.82,37.53,38.32,196.29,10.99F,662.35,Lettuce,Coffee,1.54,rainfed
Field_020,2021,5.31,LOAM,13.07,110.31,17.16,77.36,269.21,15.16,362.48,Sunflower,Kale,0.68,rainfed
Field_030,2019,5.41,Silt,21.66,46.13,70.21,64.25,488.21,7.79,445.48,Coffee,Coffee,1.76,rainfed
Field_043,2020,7.0,Loam,34.7,141.84,22.06,24.88,285.56,8.14,215.1,Rice,Oats,7.57,well
Field_042,2023,5.59,Sandy,7.79,20.67,29.13,32.1,428.62,,673.71,Oats,Oats,3.0,river
Field_009,2021,8.07,Peat,57.45,100.33,65.74,40.15,518.06,21.18,311.9,Pear,Pear,4.32,rainfed
Field_026,2024,5.73,clay,35.94,77.09,12.01,42.99,8.8 in,23.18,523.38,Blueberry,Kale,9.18,canal
Field_010,2024,7.1,Silt,8.94,76.3,47.51,71.58,836.56,29.4,201.59,Pear,Pineapple,1.91,canal
Field_014,2025,5.87,Loam,21.87,103.18,17.35,36.75,573.53,34.01,108.98,Wheat,Oats,7.78,canal
Field_018,2022,4.58,Peat,31.92,39.79,42.42,44.68,267.0,14.4,493.23,Canola,Potato,1.72,canal
Field_002,2019,7.33,clay,48.35,120.58,19.96,forty,25.3 in,27.5,132.43,Cocoa,Cocoa,0.52,canal
Field_020,2023,7.06,LOAM,15.01,121.68,,80.1,313.65,16.86,535.8,Pear,Cauliflower,9.65,rainfed
Field_021,2025,4.87,SANDY,36.78,33.82,49.24,99.23,21.6 in,24.64,622.84,Sunflower,Sunflower,5.25,rainfed
Field_014,2019,6.34,Loam,39.22,142.26,17.11,59.08,521.08,27.32,102.93,Sorghum,Cauliflower,4.01,canal
Field_021,2019,5.92,SANDY,43.36,23.2,38.7,99.76,490.83,24.78,621.14,Barley,Barley,9.57,rainfed
Field_012,2020,7.23,Silt,19.72,16.71,35.5,23.41,289.57,26.86,772.37,Beet,Broccoli,7.1,river
Field_010,2019,5.52,Silt,15.2,109.17,60.48,94.6,452.48,-1,247.64,Chickpea,Rye,0.57,canal
Field_049,2019,5.89,Loam,34.23,15.73,14.89,110.07,492.27,12.22,376.05,Apple,Broccoli,8.44,canal
Field_029,2019,5.84,SANDY,34.51,74.19,16.15,64.75,782.42,16.99,,Cassava,Barley,4.47,rainfed
Field_016,2022,6.07,clay,13.7,152.7,15.63,71.38,683.91,18.16,340.31,Garlic,Soybean,7.92,well
Field_003,2019,7.94,LOAM,24.81,38.13,45.82,71.1,310.74,25.49,504.15,Sunflower,Tea,2.94,canal
Field_006,2020,6.66,sandy,30.98,134.78,10.69,43.99,772.05,14.44F,137.49,Cocoa,Cotton,3.01,well
Field_004,2020,6.0,CLAY,37.63,14.92,12.37,70.53,367.76,19.01,310.38,Mango,Rice,3.18,well
Field_014,2021,5.57,Loam,34.18,115.63,17.51,58.92,460.83,30.74F,110.28,Tomato,Tomato,4.55,canal
Field_020,2024,7.37,LOAM,14.32,97.58,,74.2,272.71,13.11F,513.93,Rice,Wheat,8.32,rainfed
Field_026,2020,6.79,clay,28.05,75.58,16.74,55.2,373.27,24.74,354.19,Wheat,Grapes,9.19,canal
Field_034,2025,4.74,loam,53.8,92.92,22.77,94.64,7.9 in,25.33,84.73,Canola,Rice,5.41,well
Field_048,2020,4.99,LOAMY,22.36,79.82,45.05,40.28,719.04,14.37,809.1,Millet,Carrot,1.59,river
Field_006,2021,7.23,sandy,43.18,120.75,16.69,46.63,forty,15.55F,210.0,Cocoa,Cocoa,4.97,well
Field_002,2018,5.97,clay,41.41,120.46,19.53,27.34,616.64,28.06F,76.17,Carrot,Cocoa,7.42,canal
Field_004,2024,7.03,CLAY,33.44,17.52,10.85,106.63,456.7,18.05,414.59,Lentil,Garlic,1.32,well
Field_013,2022,6.99,Peat,23.25,95.29,28.25,29.96,294.92,29.27,507.74,Pear,Cucumber,7.9,rainfed
Field_049,2020,7.03,Loam,30.18,22.05,18.04,88.85,389.98,14.3F,247.96,Sweet Potato,Pineapple,6.59,canal
Field_013,2019,6.16,Peat,21.56,152.85,39.31,19.9,259.52,23.26,620.39,Peach,Hemp,9.41,rainfed
Field_018,2021,6.12,Peat,18.61,66.38,54.6,62.51,338.13,13.79,427.79,Melon,Peach,5.16,canal
Field_047,2023,6.87,Loam,25.15,10.41,33.33,57.47,204.6,23.17F,220.63,Garlic,Broccoli,6.86,rainfed
Field_006,2019,7.93,sandy,39.55,125.25,12.11,45.45,707.24,16.6,159.67,Wheat,Barley,5.78,well
Field_007,2022,5.77,PEAT,18.55,40.7,34.41,74.26,580.46,33.51,149.68,Strawberry,Raspberry,7.01,canal
Field_013,2021,6.64,Peat,36.81,152.21,48.21,31.26,222.13,27.63,709.04,Strawberry,Cotton,6.64,rainfed
Field_039,2023,5.81,SILT,23.79,18.19,30.08,35.82,150.38,10.06,479.13,Hemp,Carrot,1.75,rainfed
Field_014,2022,5.56,Loam,25.65,152.46,14.79,60.41,394.91,32.19,98.15,Sorghum,Sorghum,8.71,canal
Field_009,2018,8.76,Peat,-1,132.58,45.46,33.07,678.1,21.2,295.65,Cocoa,Millet,5.04,rainfed
Field_036,2024,8.38,peat,42.14,92.48,46.97,42.04,489.41,27.45,560.19,Spinach,Banana,3.72,river
Field_036,2020,8.41,peat,52.44,124.25,47.58,41.13,538.88,26.81F,796.86,Lettuce,Pea,5.31,river
Field_041,2019,8.91,Sandy,35.44,65.79,49.77,85.0,607.9,20.25F,881.35,Cotton,Kale,6.62,river
Field_035,2023,8.69,Clay,9.11,40.22,44.6,64.28,551.36,22.38,717.56,Pear,Pear,1.81,river
Field_023,2019,8.63,LOAM,24.01,110.51,35.15,99.59,171.44,18.41,220.19,Plum,Plum,3.33,rainfed
Field_030,2019,5.5,Silt,31.28,66.16,47.21,53.55,348.34,9.13,270.43,Pea,Carrot,9.69,rainfed
Field_027,2024,6.3,Sandy,36.48,36.07,32.72,21.01,614.13,15.88,236.71,Cassava,Cucumber,8.55,canal
Field_037,2021,6.93,Sandy,35.83,85.0,37.36,57.4,420.89,18.9,627.05,Sunflower,Wheat,3.86,well
Field_018,2018,5.03,Peat,28.55,70.07,44.44,39.24,18.8 in,16.61,443.14,Grapes,Garlic,9.8,canal
Field_024,2023,7.05,Clay,29.5,28.49,39.7,69.17,24.2 in,30.48,352.35,Chickpea,Millet,7.78,river
Field_028,2020,5.86,Loam,50.48,42.28,,68.66,228.31,18.28,491.56,Cauliflower,Cauliflower,2.34,well
Field_019,2020,7.91,Sandy,22.98,156.82,67.99,49.62,815.1,32.73,393.63,Rye,Pea,4.73,rainfed
Field_025,2018,8.36,Silt,11.55,58.53,40.98,84.59,507.19,26.26,351.5,Coffee,Coffee,9.79,well
Field_044,2020,5.48,Peat,49.45,79.29,40.54,42.25,506.71,15.08,634.02,Lettuce,Flax,-3.5,well
Field_029,2022,6.18,SANDY,37.65,89.64,13.47,54.26,851.78,16.6F,114.9,Barley,Barley,3.43,rainfed
Field_003,2022,8.99,LOAM,forty,35.83,53.81,80.51,173.49,29.19,332.4,Millet,Barley,2.23,canal
Field_012,2025,7.78,Silt,11.12,18.15,38.01,31.5,284.47,24.82F,467.06,Potato,Tomato,5.38,river
Field_032,2019,5.51,peat,45.3,102.23,58.73,94.29,322.66,26.56F,856.66,Tea,Grapes,7.09,well
Field_041,2018,8.46,Sandy,34.48,69.61,42.41,forty,564.42,17.01,849.06,Cassava,Corn,8.87,river
Field_041,2023,8.76,Sandy,39.17,95.07,56.72,,621.53,21.79,588.55,Pumpkin,Rice,5.02,river
Field_013,2019,6.91,Peat,30.82,147.97,30.63,30.76,155.95,27.42,438.02,Millet,Pear,4.9,rainfed
Field_003,2025,6.09,LOAM,32.32,28.38,55.85,105.36,215.0,28.93,589.3,Cucumber,Sunflower,2.66,canal
Field_021,2022,4.38,SANDY,30.9,28.58,37.69,86.3,694.15,25.32,515.8,Pineapple,Barley,9.36,rainfed
Field_027,2025,5.3,Sandy,51.2,39.59,40.42,23.15,391.26,12.93,340.88,Melon,Cabbage,2.09,canal
Field_029,2019,8.87,SANDY,26.0,113.84,21.3,44.68,505.14,15.53,90.63,Raspberry,Corn,9.92,rainfed
Field_008,2023,5.29,Silt,40.61,147.24,44.16,30.37,133.84,11.24,186.74,Melon,Raspberry,2.23,well
Field_019,2023,7.66,Sandy,23.26,125.22,44.4,37.24,642.93,26.6F,705.87,Rice,Rice,4.99,rainfed
Field_003,2025,9.07,LOAM,31.67,24.64,47.95,68.39,325.72,25.94,315.58,Sweet Potato,Oats,1.54,canal
Field_008,2021,6.26,Silt,27.82,92.38,35.66,33.21,239.57,11.87,329.51,Melon,Melon,3.92,well
Field_021,2020,6.71,SANDY,-1,34.73,41.74,100.03,498.43,30.53,333.82,Peach,Rye,6.69,rainfed
Field_030,2025,8.52,Silt,27.78,,70.21,69.76,491.65,8.33,338.74,Grapes,Tomato,4.39,rainfed
Field_033,2024,7.3,Silt,,105.5,8.66,87.36,551.01,21.05,419.36,Melon,Blueberry,5.1,well
Field_043,2021,7.86,Loam,33.56,101.76,19.24,33.97,436.26,9.43,322.17,Potato,Cucumber,1.51,well
Field_033,2021,8.04,Silt,-1,87.94,10.71,89.8,19.8 in,23.65,276.72,Hemp,Pea,8.94,well
Field_008,2023,7.47,Silt,25.9,110.78,46.52,36.0,148.34,11.99,185.68,Flax,Coffee,5.94,well
Field_011,2025,6.93,CLAY,12.91,24.49,28.08,86.8,528.1,12.22,184.68,Canola,Cotton,2.76,well
Field_023,2018,6.39,LOAM,16.89,98.8,38.57,76.27,128.79,21.47,223.27,Bean,Pineapple,3.27,rainfed
Field_008,2023,6.64,Silt,23.98,97.38,41.57,34.75,9.0 in,12.37F,231.58,Tomato,Melon,3.54,well
Field_008,2023,7.29,Silt,41.1,165.55,47.42,30.59,218.16,11.09,317.49,Pea,Canola,1.3,well
Field_028,2023,5.98,Loam,37.51,26.9,57.93,75.63,270.36,20.86F,567.25,Cabbage,Rice,8.49,well
Field_030,2025,5.53,Silt,24.35,44.62,46.78,64.53,654.07,9.54,287.27,Sunflower,Pear,5.03,rainfed
Field_026,2024,7.34,clay,32.08,74.14,16.47,54.23,15.1 in,20.27F,393.21,Sunflower,Beet,0.85,canal
Field_050,2018,7.58,Peat,28.72,163.07,72.76,82.83,500.46,16.0,656.99,Grapes,Cabbage,2.74,well
Field_036,2024,8.65,peat,38.46,88.42,49.85,49.28,601.39,29.11F,677.26,Cotton,Cotton,8.17,river
Field_046,2021,6.93,SILT,15.91,127.69,19.48,44.2,422.85,30.62,86.35,Lettuce,Tomato,1.63,rainfed
Field_040,2018,5.58,LOAM,9.67,42.83,52.44,73.9,305.07,20.83,307.56,Pepper,Pepper,6.52,rainfed
Field_050,2019,6.38,Peat,33.15,139.64,72.77,73.18,607.4,14.34F,591.18,Coffee,Wheat,6.84,well
Field_009,2019,7.42,Peat,56.22,148.25,55.85,52.03,420.7,22.47,357.49,Lentil,Banana,3.78,rainfed
Field_047,2020,8.69,Loam,24.57,11.28,42.0,47.97,272.74,25.22,150.31,Coffee,Cabbage,9.1,rainfed
Field_031,2024,6.77,PEAT,43.64,63.3,42.43,28.86,280.04,11.62,775.38,Canola,Peach,3.09,canal
Field_040,2021,4.89,LOAM,9.7,42.56,46.26,61.44,260.86,20.89,423.22,Canola,Barley,3.07,rainfed
Field_030,2023,8.18,Silt,26.44,62.08,54.18,62.58,401.45,8.34,416.79,Lettuce,Lettuce,6.22,rainfed
Field_029,2023,,SANDY,37.72,93.56,18.52,66.5,702.1,15.27,77.79,Melon,Raspberry,6.8,rainfed
Field_023,2019,8.93,LOAM,13.98,137.27,40.23,106.72,220.1,19.22F,142.15,Millet,Onion,8.99,rainfed
Field_028,2019,6.89,Loam,33.04,40.46,68.51,75.88,10.0 in,20.42,454.74,Cocoa,Sorghum,7.85,well
Field_006,2022,8.09,sandy,43.34,89.51,17.8,31.29,441.79,15.81,110.33,Pea,Corn,8.3,well
Field_011,2025,4.67,CLAY,19.42,23.52,32.33,108.04,650.86,9.85,165.05,Millet,Pumpkin,5.7,well
Field_042,2024,8.32,Sandy,9.44,15.53,39.48,18.7,287.48,19.64,630.65,Onion,Sorghum,3.78,river
Field_038,2024,5.86,SANDY,45.82,65.74,25.84,48.67,23.0 in,13.08F,374.64,Sunflower,Melon,9.59,rainfed
Field_030,2022,6.18,Silt,37.88,66.75,66.73,79.91,613.97,9.8,375.55,Canola,Coffee,5.08,rainfed
Field_050,2020,6.38,Peat,27.56,98.13,53.14,57.73,705.27,16.08,408.08,Pear,Tea,3.3,well
Field_043,2020,8.15,Loam,36.7,110.75,12.77,30.92,447.33,9.94F,204.21,Melon,Melon,7.33,well
Field_006,2018,7.67,sandy,29.21,118.55,13.06,48.34,500.76,13.55,180.99,Sorghum,Wheat,7.76,well
Field_006,2025,6.28,sandy,33.11,107.11,12.85,43.6,477.95,14.8,194.65,Millet,Soybean,5.36,well
Field_013,2018,7.9,Peat,33.16,100.18,43.89,21.31,186.9,26.51,642.03,Strawberry,Broccoli,3.11,rainfed
Field_017,2021,6.53,sandy,28.62,100.62,63.94,23.82,256.18,10.43,401.76,Oats,Canola,9.5,rainfed
Field_039,2022,9.29,SILT,18.14,20.03,39.44,46.76,6.0 in,9.55,648.04,Canola,Canola,8.8,rainfed
